period,role,source_category,main_title,supporting_line,cta,broad_category,subcategory_style,scene,offer,product_url,notes
2026-07,Not specified,户外壁灯,Illuminate Your Summer Nights,Transform your garden into a cozy evening retreat.,Shop Outdoor Lighting,,,英国花园场景,"Save £10 on orders over £89 (CM10); Save £20 on orders over £159 (CM20)",https://lampsmodern.co.uk/products/modern-outdoor-wall-lights-waterproof-led-wall-light?_pos=2&_psq=DJ2281W&_ss=e&_v=1.0,
2026-07,Not specified,风扇灯,Brilliant Light. Refreshing Breeze.,Keep your home bright and perfectly chilled all summer long.,Shop Ceiling Fans,,,,,https://lampsmodern.co.uk/products/modern-led-dimmable-ceiling-fan-with-remote-light?_pos=1&_psq=DJ2603S&_ss=e&_v=1.0,
2026-07,Not specified,吸顶灯,Summer Home Refresh,"Fresh Light, Fresh Space",Shop Ceiling Lights,,,英国卧室场景,"Order £89+ 10% Off (CM10); Order £129+ 13% Off (CM13); Order £599+ 18% Off (CM18)",https://lampsmodern.co.uk/products/minimalism-round-led-ceiling-light,高客单
2026-07,Not specified,户外壁灯,Summer Entrance Makeover,"Brilliant, Rain or Shine",Shop Outdoor Lights,,,Source spreadsheet contains embedded image,,https://lampsmodern.co.uk/products/ip65-modern-minimal-decor-acrylic-black-outdoor-led-wall-lights?_pos=1&_psq=DJ1544W&_ss=e&_v=1.0,
2026-08,Not specified,夏末户外灯清仓,End of Summer Clearance,Extra 20% on selected outdoor & garden lighting.,Shop Outdoor Clearance,,,英国经典露台 / 生活气息,"Order £99+ 12% Off (AUG12); Order £199+ 15% Off (AUG15); Order £599+ 18% Off (AUG18)",https://lampsmodern.co.uk/products/super-bright-long-tube-led-outdoor-wall-light,
2026-08,Not specified,吊灯,Dine in a New Light,Make your dining space the heart of the home.,Shop Pendant Lights,,,Source spreadsheet contains embedded image,,https://lampsmodern.co.uk/products/black-modern-pendant-lighting-dining-room-farmhouse-chandelier?_pos=1&_psq=DJ2339P&_psid=a9044a4dd&_ss=e,
2026-08,Not specified,吸顶灯,Light Up Every Room,Bring warmth and style into every space,Shop Ceiling Lights,,,Source spreadsheet contains embedded image,"Order £89+ 10% Off (CM10); Order £129+ 13% Off (CM13); Order £599+ 18% Off (CM18)",https://lampsmodern.co.uk/products/modern-circular-living-room-led-ceiling-light?_pos=1&_psq=DJ1175Z&_psid=66e922c06&_ss=e,
2026-08,Not specified,银行假日大促,Bank Holiday Mega Sale,"Long weekend, brilliant savings.",Shop The Sale,,,,"15% Off Sitewide; Order £599+ 20% Off (BH20)",https://lampsmodern.co.uk/products/modern-1-light-hallway-flush-mount-ceiling-light-in-black?_pos=1&_psq=CL0105&_psid=7dc50a730&_ss=e&variant=47300546330914,
2026-08,Not specified,水晶吸顶灯,Dazzling New Arrivals,Discover our breathtaking new crystal ceiling lights.,Shop Crystal Lights,,,,,https://lampsmodern.co.uk/products/crystal-flush-mount-chandelier-ceiling-light-for-bedrooms-kitchens-islands-corridor?_pos=1&_psq=DJ2605C&_psid=8947c9114&_ss=e,
2026-08-27,Primary Promotional,,Ready for Cosy Evenings,Warm light. Beautiful moments at home.,Explore Ceiling Lights →,Ceiling Lights,Crystal Ceiling Lights,Living Room / Lounge; warm indoor evening,"Over £99 10% Off (HOME10); Over £199 13% Off (HOME13); Over £599 18% Off (HOME18)",,"Recent broad-category repeat; justified by category strength + changed subcategory/scene + seasonal fit"
2026-08-27,Secondary Thematic,,A Brighter Welcome Home,Outdoor lighting for changing weather.,Explore Outdoor Lighting →,Outdoor Lighting,Outdoor Wall Lights,Front Door / Entrance; wet paving / changing-weather evening,,,No discount code by default
